county,name,year,life_expectancy
01,Stockholms län,2000,79.68
01,Stockholms län,2001,79.875
01,Stockholms län,2002,80.115
01,Stockholms län,2003,80.355
01,Stockholms län,2004,80.61
01,Stockholms län,2005,80.815
01,Stockholms län,2006,81.055
01,Stockholms län,2007,81.295
01,Stockholms län,2008,81.445
01,Stockholms län,2009,81.67
01,Stockholms län,2010,81.885
01,Stockholms län,2011,82.11
01,Stockholms län,2012,82.275
01,Stockholms län,2013,82.435
03,Uppsala län,2000,80.515
03,Uppsala län,2001,80.695
03,Uppsala län,2002,80.9
03,Uppsala län,2003,80.985
03,Uppsala län,2004,81.18
03,Uppsala län,2005,81.405
03,Uppsala län,2006,81.565
03,Uppsala län,2007,81.72
03,Uppsala län,2008,81.92
03,Uppsala län,2009,82.05
03,Uppsala län,2010,82.19
03,Uppsala län,2011,82.295
03,Uppsala län,2012,82.44
03,Uppsala län,2013,82.59
04,Södermanlands län,2000,79.335
04,Södermanlands län,2001,79.42
04,Södermanlands län,2002,79.645
04,Södermanlands län,2003,79.78
04,Södermanlands län,2004,80.05
04,Södermanlands län,2005,80.26
04,Södermanlands län,2006,80.305
04,Södermanlands län,2007,80.355
04,Södermanlands län,2008,80.57
04,Södermanlands län,2009,80.71
04,Södermanlands län,2010,80.82
04,Södermanlands län,2011,81.07
04,Södermanlands län,2012,81.425
04,Södermanlands län,2013,81.49
05,Östergötlands län,2000,79.88
05,Östergötlands län,2001,79.995
05,Östergötlands län,2002,80.21
05,Östergötlands län,2003,80.335
05,Östergötlands län,2004,80.51
05,Östergötlands län,2005,80.725
05,Östergötlands län,2006,80.89
05,Östergötlands län,2007,80.995
05,Östergötlands län,2008,81.185
05,Östergötlands län,2009,81.385
05,Östergötlands län,2010,81.59
05,Östergötlands län,2011,81.675
05,Östergötlands län,2012,81.885
05,Östergötlands län,2013,82.085
06,Jönköpings län,2000,80.08
06,Jönköpings län,2001,80.225
06,Jönköpings län,2002,80.41
06,Jönköpings län,2003,80.65
06,Jönköpings län,2004,80.765
06,Jönköpings län,2005,80.935
06,Jönköpings län,2006,81.165
06,Jönköpings län,2007,81.35
06,Jönköpings län,2008,81.455
06,Jönköpings län,2009,81.71
06,Jönköpings län,2010,81.84
06,Jönköpings län,2011,82.005
06,Jönköpings län,2012,82.155
06,Jönköpings län,2013,82.33
07,Kronobergs län,2000,80.42
07,Kronobergs län,2001,80.595
07,Kronobergs län,2002,80.83
07,Kronobergs län,2003,80.955
07,Kronobergs län,2004,81.135
07,Kronobergs län,2005,81.375
07,Kronobergs län,2006,81.51
07,Kronobergs län,2007,81.6
07,Kronobergs län,2008,81.805
07,Kronobergs län,2009,82.145
07,Kronobergs län,2010,82.27
07,Kronobergs län,2011,82.445
07,Kronobergs län,2012,82.75
07,Kronobergs län,2013,82.875
08,Kalmar län,2000,79.455
08,Kalmar län,2001,79.585
08,Kalmar län,2002,79.79
08,Kalmar län,2003,79.885
08,Kalmar län,2004,80.115
08,Kalmar län,2005,80.235
08,Kalmar län,2006,80.485
08,Kalmar län,2007,80.64
08,Kalmar län,2008,80.89
08,Kalmar län,2009,80.985
08,Kalmar län,2010,81.185
08,Kalmar län,2011,81.305
08,Kalmar län,2012,81.475
08,Kalmar län,2013,81.58
09,Gotlands län,2000,78.915
09,Gotlands län,2001,79.135
09,Gotlands län,2002,79.25
09,Gotlands län,2003,79.805
09,Gotlands län,2004,80.205
09,Gotlands län,2005,80.545
09,Gotlands län,2006,80.82
09,Gotlands län,2007,81.365
09,Gotlands län,2008,81.505
09,Gotlands län,2009,81.565
09,Gotlands län,2010,81.44
09,Gotlands län,2011,81.23
09,Gotlands län,2012,81.37
09,Gotlands län,2013,81.39
10,Blekinge län,2000,80.015
10,Blekinge län,2001,80.215
10,Blekinge län,2002,80.575
10,Blekinge län,2003,80.7
10,Blekinge län,2004,80.76
10,Blekinge län,2005,80.965
10,Blekinge län,2006,81.025
10,Blekinge län,2007,80.875
10,Blekinge län,2008,81.105
10,Blekinge län,2009,81.34
10,Blekinge län,2010,81.375
10,Blekinge län,2011,81.58
10,Blekinge län,2012,81.815
10,Blekinge län,2013,81.81
12,Skåne län,2000,79.7
12,Skåne län,2001,79.86
12,Skåne län,2002,80.075
12,Skåne län,2003,80.255
12,Skåne län,2004,80.53
12,Skåne län,2005,80.69
12,Skåne län,2006,80.87
12,Skåne län,2007,81.065
12,Skåne län,2008,81.235
12,Skåne län,2009,81.395
12,Skåne län,2010,81.545
12,Skåne län,2011,81.69
12,Skåne län,2012,81.805
12,Skåne län,2013,81.975
13,Hallands län,2000,80.725
13,Hallands län,2001,80.88
13,Hallands län,2002,81.125
13,Hallands län,2003,81.285
13,Hallands län,2004,81.455
13,Hallands län,2005,81.615
13,Hallands län,2006,81.825
13,Hallands län,2007,81.975
13,Hallands län,2008,82.225
13,Hallands län,2009,82.285
13,Hallands län,2010,82.435
13,Hallands län,2011,82.575
13,Hallands län,2012,82.69
13,Hallands län,2013,82.815
14,Västra Götalands län,2000,79.785
14,Västra Götalands län,2001,79.955
14,Västra Götalands län,2002,80.125
14,Västra Götalands län,2003,80.235
14,Västra Götalands län,2004,80.455
14,Västra Götalands län,2005,80.645
14,Västra Götalands län,2006,80.81
14,Västra Götalands län,2007,81.0
14,Västra Götalands län,2008,81.165
14,Västra Götalands län,2009,81.33
14,Västra Götalands län,2010,81.485
14,Västra Götalands län,2011,81.65
14,Västra Götalands län,2012,81.815
14,Västra Götalands län,2013,81.975
17,Värmlands län,2000,79.0
17,Värmlands län,2001,79.155
17,Värmlands län,2002,79.545
17,Värmlands län,2003,79.69
17,Värmlands län,2004,79.895
17,Värmlands län,2005,80.025
17,Värmlands län,2006,80.16
17,Värmlands län,2007,80.14
17,Värmlands län,2008,80.405
17,Värmlands län,2009,80.665
17,Värmlands län,2010,80.865
17,Värmlands län,2011,81.06
17,Värmlands län,2012,81.43
17,Värmlands län,2013,81.46
18,Örebro län,2000,79.32
18,Örebro län,2001,79.51
18,Örebro län,2002,79.695
18,Örebro län,2003,79.875
18,Örebro län,2004,80.065
18,Örebro län,2005,80.375
18,Örebro län,2006,80.6
18,Örebro län,2007,80.655
18,Örebro län,2008,80.89
18,Örebro län,2009,80.975
18,Örebro län,2010,81.045
18,Örebro län,2011,81.02
18,Örebro län,2012,81.315
18,Örebro län,2013,81.365
19,Västmanlands län,2000,79.505
19,Västmanlands län,2001,79.67
19,Västmanlands län,2002,79.835
19,Västmanlands län,2003,80.03
19,Västmanlands län,2004,80.185
19,Västmanlands län,2005,80.495
19,Västmanlands län,2006,80.595
19,Västmanlands län,2007,80.675
19,Västmanlands län,2008,80.955
19,Västmanlands län,2009,81.23
19,Västmanlands län,2010,81.34
19,Västmanlands län,2011,81.55
19,Västmanlands län,2012,81.79
19,Västmanlands län,2013,81.91
20,Dalarnas län,2000,79.515
20,Dalarnas län,2001,79.69
20,Dalarnas län,2002,79.84
20,Dalarnas län,2003,79.945
20,Dalarnas län,2004,80.095
20,Dalarnas län,2005,80.41
20,Dalarnas län,2006,80.675
20,Dalarnas län,2007,80.825
20,Dalarnas län,2008,81.06
20,Dalarnas län,2009,81.3
20,Dalarnas län,2010,81.4
20,Dalarnas län,2011,81.545
20,Dalarnas län,2012,81.675
20,Dalarnas län,2013,81.73
21,Gävleborgs län,2000,79.02
21,Gävleborgs län,2001,79.145
21,Gävleborgs län,2002,79.245
21,Gävleborgs län,2003,79.4
21,Gävleborgs län,2004,79.34
21,Gävleborgs län,2005,79.575
21,Gävleborgs län,2006,79.825
21,Gävleborgs län,2007,79.97
21,Gävleborgs län,2008,80.14
21,Gävleborgs län,2009,80.43
21,Gävleborgs län,2010,80.555
21,Gävleborgs län,2011,80.765
21,Gävleborgs län,2012,80.87
21,Gävleborgs län,2013,80.89
22,Västernorrlands län,2000,79.23
22,Västernorrlands län,2001,79.31
22,Västernorrlands län,2002,79.51
22,Västernorrlands län,2003,79.565
22,Västernorrlands län,2004,79.61
22,Västernorrlands län,2005,79.725
22,Västernorrlands län,2006,79.955
22,Västernorrlands län,2007,80.02
22,Västernorrlands län,2008,80.19
22,Västernorrlands län,2009,80.34
22,Västernorrlands län,2010,80.515
22,Västernorrlands län,2011,80.565
22,Västernorrlands län,2012,80.735
22,Västernorrlands län,2013,80.8
23,Jämtlands län,2000,79.285
23,Jämtlands län,2001,79.52
23,Jämtlands län,2002,79.68
23,Jämtlands län,2003,79.835
23,Jämtlands län,2004,79.855
23,Jämtlands län,2005,79.855
23,Jämtlands län,2006,80.08
23,Jämtlands län,2007,80.455
23,Jämtlands län,2008,80.71
23,Jämtlands län,2009,80.945
23,Jämtlands län,2010,81.19
23,Jämtlands län,2011,81.285
23,Jämtlands län,2012,81.315
23,Jämtlands län,2013,81.3
24,Västerbottens län,2000,79.475
24,Västerbottens län,2001,79.585
24,Västerbottens län,2002,79.825
24,Västerbottens län,2003,80.155
24,Västerbottens län,2004,80.355
24,Västerbottens län,2005,80.72
24,Västerbottens län,2006,80.925
24,Västerbottens län,2007,80.995
24,Västerbottens län,2008,81.11
24,Västerbottens län,2009,81.21
24,Västerbottens län,2010,81.2
24,Västerbottens län,2011,81.2
24,Västerbottens län,2012,81.43
24,Västerbottens län,2013,81.48
25,Norrbottens län,2000,78.765
25,Norrbottens län,2001,78.86
25,Norrbottens län,2002,79.115
25,Norrbottens län,2003,79.275
25,Norrbottens län,2004,79.46
25,Norrbottens län,2005,79.655
25,Norrbottens län,2006,79.86
25,Norrbottens län,2007,80.19
25,Norrbottens län,2008,80.375
25,Norrbottens län,2009,80.455
25,Norrbottens län,2010,80.62
25,Norrbottens län,2011,80.83
25,Norrbottens län,2012,80.765
25,Norrbottens län,2013,80.855
